state,lga,latitude,longitude,season,rainfall_mm,elevation_m,river_distance_km,soil_type,drainage,risk_score,risk_class
Ogun,Abeokuta North,7.199347,3.341286,dry,60.1,50.24,6.761,loamy,moderate,0.5124,Medium
Ogun,Abeokuta North,7.20132,3.343506,wet,215.8,50.94,7.007,loamy,good,0.5474,High
Ogun,Abeokuta North,7.191825,3.344677,wet,222.1,50.56,7.193,loamy,moderate,0.5861,High
Ogun,Abeokuta North,7.215879,3.309983,dry,56.8,45.27,3.749,loamy,moderate,0.5515,High
Ogun,Abeokuta North,7.209565,3.313994,wet,209.6,48.41,3.898,loamy,moderate,0.6215,High
Ogun,Abeokuta North,7.207172,3.307018,dry,59.1,54.92,3.085,loamy,moderate,0.5516,Medium
Ogun,Abeokuta North,7.196735,3.324634,dry,54.3,51.46,4.937,loamy,moderate,0.5303,High
Ogun,Abeokuta North,7.188213,3.352485,dry,58.0,49.13,8.103,loamy,moderate,0.4963,High
Ogun,Abeokuta North,7.19997,3.325094,dry,63.4,50.12,4.975,clay,moderate,0.607,High
Ogun,Abeokuta North,7.200952,3.332891,wet,198.4,50.16,5.836,loamy,moderate,0.5911,High
Ogun,Abeokuta North,7.199436,3.344381,wet,204.3,50.21,7.103,loamy,moderate,0.5788,High
Ogun,Abeokuta North,7.170877,3.314977,dry,54.6,47.48,5.037,loamy,moderate,0.5329,High
Ogun,Abeokuta North,7.220699,3.34542,wet,196.2,50.74,7.575,loamy,moderate,0.5687,High
Ogun,Abeokuta North,7.219661,3.339095,wet,198.2,52.18,6.876,loamy,moderate,0.5767,High
Ogun,Abeokuta North,7.21116,3.309304,dry,60.3,51.09,3.463,loamy,moderate,0.5512,High
Ogun,Abeokuta North,7.202587,3.313427,dry,63.1,49.34,3.699,loamy,moderate,0.5514,High
Ogun,Abeokuta North,7.200058,3.310516,dry,57.1,48.79,3.366,loamy,moderate,0.553,High
Ogun,Abeokuta North,7.199363,3.342133,dry,55.7,47.74,6.855,loamy,moderate,0.5114,Medium
Ogun,Abeokuta North,7.18954,3.326221,dry,61.7,48.59,5.23,sandy,moderate,0.5056,Medium
Ogun,Abeokuta North,7.200932,3.352133,dry,58.1,47.57,7.958,loamy,moderate,0.4995,High
Ogun,Abeokuta North,7.196519,3.318595,dry,57.0,50.39,4.275,loamy,moderate,0.5405,High
Ogun,Abeokuta North,7.196408,3.320902,dry,61.4,49.56,4.53,loamy,moderate,0.5404,High
Ogun,Abeokuta North,7.206239,3.319083,dry,59.1,50.14,4.367,loamy,moderate,0.5407,High
Ogun,Abeokuta North,7.178098,3.322369,wet,198.1,47.83,5.271,loamy,moderate,0.6,High
Ogun,Abeokuta North,7.191086,3.333499,wet,198.4,49.94,5.985,silty,none,0.7201,Critical
Ogun,Abeokuta North,7.215856,3.35233,dry,59.4,51.3,8.172,loamy,moderate,0.4941,High
Ogun,Sagamu,6.820919,3.632435,dry,62.4,39.94,30.948,sandy,basic,0.3817,Medium
Ogun,Sagamu,6.825093,3.635819,wet,201.3,43.29,31.487,sandy,basic,0.4465,Medium
Ogun,Sagamu,6.83171,3.647191,dry,56.7,39.44,32.938,sandy,basic,0.3794,Medium
Ogun,Sagamu,6.835196,3.634212,wet,213.8,45.13,31.842,sandy,basic,0.4509,Medium
Ogun,Sagamu,6.82323,3.658526,wet,197.1,45.14,33.67,sandy,basic,0.4427,Medium
Ogun,Sagamu,6.839873,3.630534,dry,56.8,39.91,31.683,sandy,basic,0.379,Medium
Ogun,Sagamu,6.824408,3.645999,wet,213.1,44.5,32.467,sandy,basic,0.4511,Medium
Ogun,Sagamu,6.850093,3.633166,wet,203.1,44.99,31.749,sandy,basic,0.4458,Medium
Ogun,Sagamu,6.82063,3.622801,wet,219.4,44.14,29.979,sandy,basic,0.4546,Medium
Ogun,Sagamu,6.828929,3.657188,wet,215.8,43.12,33.798,sandy,basic,0.4538,Medium
Ogun,Sagamu,6.847372,3.632534,dry,55.0,43.3,31.735,sandy,basic,0.375,Medium
Ogun,Sagamu,6.840327,3.649358,dry,57.4,40.9,33.587,sandy,basic,0.3784,Medium
Ogun,Sagamu,6.840635,3.6399,wet,215.9,43.93,32.678,sandy,basic,0.4531,Medium
Ogun,Sagamu,6.839073,3.65231,dry,62.9,47.2,33.812,sandy,basic,0.3752,Medium
Ogun,Sagamu,6.816181,3.650243,dry,58.5,40.02,32.517,sandy,basic,0.3797,Medium
Ogun,Sagamu,6.855761,3.641575,wet,218.7,43.06,32.562,sandy,basic,0.4552,Medium
Ogun,Sagamu,6.812229,3.648649,dry,59.6,41.43,32.183,sandy,basic,0.379,Medium
Ogun,Sagamu,6.823701,3.65569,dry,58.4,39.63,33.405,sandy,basic,0.3801,Medium
Ogun,Sagamu,6.830154,3.64523,dry,60.9,45.18,32.668,sandy,basic,0.3761,Medium
Ogun,Sagamu,6.825646,3.626178,wet,210.1,41.45,30.563,sandy,basic,0.4525,Medium
Ogun,Sagamu,6.851369,3.638515,dry,62.5,43.11,32.306,sandy,moderate,0.3338,Medium
Ogun,Sagamu,6.827829,3.669567,wet,220.8,44.33,34.991,sandy,basic,0.4551,Medium
Ogun,Sagamu,6.835055,3.625168,wet,215.5,40.92,30.958,sandy,basic,0.4557,Medium
Ogun,Sagamu,6.875009,3.672335,wet,222.1,39.11,35.692,clay,basic,0.5596,High
Ogun,Sagamu,6.834056,3.655955,dry,55.5,38.75,33.922,silty,basic,0.44,Medium
Ogun,Sagamu,6.841908,3.68308,wet,208.8,42.32,36.999,sandy,basic,0.4511,High
Ogun,Sagamu,6.827939,3.652676,wet,224.6,46.31,33.301,sandy,basic,0.4551,High
Ogun,Sagamu,6.83393,3.634579,dry,58.6,42.62,31.812,sandy,basic,0.3774,Medium
Ogun,Sagamu,6.798055,3.62869,dry,57.8,45.73,29.547,clay,basic,0.4731,Medium
Ogun,Sagamu,6.839139,3.621641,dry,61.8,42.23,30.742,sandy,moderate,0.3343,Medium
Ogun,Sagamu,6.829493,3.628461,wet,214.4,39.01,30.984,sandy,basic,0.4569,Medium
Ogun,Sagamu,6.818626,3.638324,wet,207.5,43.5,31.427,sandy,basic,0.4493,Medium
Ogun,Sagamu,6.850216,3.63997,dry,62.0,42.75,32.486,sandy,basic,0.3789,Medium
Ogun,Sagamu,6.839705,3.636361,wet,217.6,41.22,32.29,sandy,basic,0.4564,Medium
Ogun,Sagamu,6.833096,3.636574,dry,56.4,43.69,31.964,loamy,basic,0.4028,Medium
Ogun,Sagamu,6.830679,3.632438,dry,54.1,43.13,31.435,sandy,basic,0.3747,Medium
Ogun,Sagamu,6.849142,3.644613,wet,216.0,40.53,33.012,sandy,none,0.5088,Medium
Ogun,Sagamu,6.852058,3.645767,dry,59.2,43.09,33.084,sandy,basic,0.3772,Medium
Ogun,Sagamu,6.862002,3.642756,dry,62.7,39.25,32.594,sandy,basic,0.3825,Medium
Ogun,Sagamu,6.813481,3.626426,dry,58.2,43.88,29.994,sandy,basic,0.376,Medium
Ogun,Obafemi-Owode,6.968517,3.513339,dry,63.5,110.49,19.449,clay,none,0.4745,High
Ogun,Obafemi-Owode,6.958686,3.505641,wet,224.7,110.71,18.378,clay,none,0.566,High
Ogun,Obafemi-Owode,6.959167,3.483281,wet,218.2,109.56,16.116,clay,none,0.591,High
Ogun,Obafemi-Owode,6.942642,3.542514,wet,198.3,105.53,21.773,clay,moderate,0.4409,Medium
Ogun,Obafemi-Owode,6.952749,3.489289,dry,55.1,110.56,16.456,clay,none,0.5063,High
Ogun,Obafemi-Owode,6.924264,3.50387,wet,213.5,107.65,17.198,clay,none,0.5775,High
Ogun,Obafemi-Owode,6.943116,3.489315,wet,207.0,111.12,16.108,clay,none,0.5842,High
Ogun,Obafemi-Owode,6.954943,3.49685,wet,198.8,108.5,17.323,clay,none,0.568,High
Ogun,Obafemi-Owode,6.94654,3.485724,dry,54.8,106.39,15.85,clay,none,0.5173,High
Ogun,Obafemi-Owode,6.935027,3.47914,wet,207.4,105.21,14.778,clay,none,0.6059,High
Ogun,Obafemi-Owode,6.948341,3.48712,dry,55.3,108.02,16.062,clay,none,0.5135,High
Ogun,Obafemi-Owode,6.955633,3.503737,dry,59.7,109.96,18.062,clay,none,0.4898,Medium
Ogun,Obafemi-Owode,6.960079,3.509734,dry,63.5,111.16,18.855,clay,none,0.481,Medium
Ogun,Obafemi-Owode,6.940844,3.495121,dry,62.3,109.15,16.651,clay,none,0.5088,High
Ogun,Obafemi-Owode,6.925679,3.487781,wet,215.8,106.73,15.475,loamy,none,0.5287,High
Ogun,Obafemi-Owode,6.945049,3.512742,wet,214.7,109.46,18.649,clay,basic,0.5065,High
Ogun,Obafemi-Owode,6.93825,3.511574,wet,218.3,106.81,18.336,clay,none,0.567,High
Ogun,Obafemi-Owode,6.964053,3.520842,wet,214.9,108.27,20.158,clay,none,0.544,High
Ogun,Obafemi-Owode,6.946351,3.52489,wet,215.3,108.45,19.981,clay,none,0.5443,High
Ogun,Obafemi-Owode,6.9462,3.509883,wet,201.3,110.69,18.381,loamy,none,0.483,High
Ogun,Obafemi-Owode,6.962827,3.512043,dry,60.8,109.88,19.203,clay,none,0.4767,High
Ogun,Obafemi-Owode,6.952006,3.494556,wet,197.3,106.96,16.972,clay,none,0.573,High
Ogun,Obafemi-Owode,6.932306,3.512119,dry,57.0,109.31,18.253,clay,none,0.4868,High
Ogun,Obafemi-Owode,6.966607,3.470683,wet,208.1,108.13,14.894,clay,moderate,0.5046,High
Ogun,Obafemi-Owode,6.94972,3.489387,wet,210.9,111.51,16.349,clay,none,0.5828,High
Ogun,Obafemi-Owode,6.92757,3.530428,wet,200.9,109.1,20.151,clay,none,0.5364,High
Ogun,Obafemi-Owode,6.94476,3.492236,dry,59.6,106.49,16.471,clay,none,0.5121,High
Ogun,Obafemi-Owode,6.922579,3.465555,dry,55.3,110.85,13.001,silty,none,0.5091,Medium
Ogun,Obafemi-Owode,6.95576,3.480775,dry,58.3,107.28,15.711,loamy,none,0.4483,Medium
Ogun,Obafemi-Owode,6.936617,3.4882,dry,61.2,104.65,15.789,sandy,none,0.4238,Medium
Ogun,Obafemi-Owode,6.941522,3.501308,wet,220.1,105.52,17.329,clay,basic,0.5287,High
Ogun,Obafemi-Owode,6.972816,3.505727,dry,57.4,106.29,18.539,clay,none,0.4864,High
Ogun,Obafemi-Owode,6.953462,3.477657,wet,197.0,109.7,15.294,silty,none,0.5519,High
Ogun,Obafemi-Owode,6.946397,3.478368,wet,199.2,107.68,15.08,clay,none,0.5959,High
Ogun,Obafemi-Owode,6.945241,3.485815,wet,218.7,108.29,15.813,clay,none,0.5961,High
Ogun,Obafemi-Owode,6.961699,3.478385,wet,205.9,107.72,15.745,clay,basic,0.5387,High
Ogun,Obafemi-Owode,6.936064,3.52144,wet,197.3,109.16,19.345,clay,none,0.5424,High
Ogun,Obafemi-Owode,6.93388,3.473905,wet,200.4,108.05,14.187,clay,none,0.6069,High
Ogun,Obafemi-Owode,6.969628,3.486234,wet,202.1,106.45,16.489,clay,none,0.5816,High
Ogun,Obafemi-Owode,6.949849,3.483625,wet,209.1,107.67,15.757,clay,none,0.5926,High
Ogun,Yewa North,7.190916,2.985885,dry,58.8,75.42,10.13,loamy,basic,0.4928,Medium
Ogun,Yewa North,7.152592,2.992234,dry,57.5,77.17,6.002,loamy,none,0.5926,High
Ogun,Yewa North,7.142298,2.999227,wet,222.2,75.13,5.16,silty,basic,0.6656,High
Ogun,Yewa North,7.162686,2.971524,wet,206.2,73.27,7.033,loamy,basic,0.604,High
Ogun,Yewa North,7.184128,3.006108,dry,56.7,75.28,9.788,loamy,none,0.5485,Medium
Ogun,Yewa North,7.165088,3.017959,dry,54.0,71.74,8.362,loamy,good,0.4326,Medium
Ogun,Yewa North,7.159469,3.007953,dry,60.2,76.06,7.297,loamy,good,0.4444,Medium
Ogun,Yewa North,7.147758,2.99844,wet,195.0,74.67,5.687,loamy,none,0.6659,High
Ogun,Yewa North,7.158551,3.020576,dry,58.9,77.23,7.901,loamy,none,0.5704,High
Ogun,Yewa North,7.136943,3.010739,dry,54.0,76.52,5.327,loamy,none,0.5996,High
Ogun,Yewa North,7.147743,2.979019,dry,57.2,76.25,5.31,loamy,none,0.6016,High
Ogun,Yewa North,7.133171,2.961322,dry,54.4,72.53,4.225,loamy,none,0.6167,Medium
Ogun,Yewa North,7.14879,3.004324,wet,204.3,76.31,6.053,loamy,none,0.6645,High
Ogun,Yewa North,7.14596,3.000682,wet,196.4,74.1,5.597,loamy,none,0.6682,High
Ogun,Yewa North,7.154905,2.984689,dry,57.7,74.82,6.127,loamy,none,0.5934,Medium
Ogun,Yewa North,7.115923,3.00053,dry,54.6,76.02,2.875,loamy,none,0.6297,High
Ogun,Yewa North,7.137331,2.996278,wet,208.4,74.21,4.523,loamy,good,0.5518,High
Ogun,Yewa North,7.147371,3.003545,dry,60.2,73.4,5.873,loamy,good,0.4639,Medium
Ogun,Yewa North,7.132388,3.020409,wet,213.2,76.06,5.731,loamy,none,0.673,High
Ogun,Yewa North,7.151898,3.021509,dry,59.9,73.08,7.367,loamy,none,0.5812,High
Ogun,Yewa North,7.132341,3.018335,wet,214.5,73.02,5.552,loamy,basic,0.6261,High
Ogun,Yewa North,7.135161,3.000089,wet,208.4,74.89,4.494,loamy,none,0.6866,High
Ogun,Yewa North,7.165091,2.991263,wet,200.2,75.52,7.344,loamy,none,0.6478,High
Ogun,Yewa North,7.164577,2.963527,dry,59.3,73.45,7.407,loamy,none,0.5801,Medium
Ogun,Yewa North,7.162949,3.019715,wet,198.6,75.65,8.258,loamy,good,0.5009,Medium
Ogun,Yewa North,7.168803,3.003134,dry,55.1,69.41,8.065,loamy,good,0.4389,Medium
Ogun,Yewa North,7.173896,2.999939,dry,54.5,75.45,8.506,loamy,none,0.5627,Medium
Ogun,Yewa North,7.128462,3.007002,dry,59.3,77.6,4.347,loamy,none,0.6129,High
Ogun,Yewa North,7.162218,3.012854,wet,204.1,76.18,7.81,loamy,none,0.6435,High
Ogun,Yewa North,7.15559,3.035982,dry,60.2,75.86,8.739,loamy,moderate,0.4648,Medium
Ogun,Yewa North,7.145001,2.995624,wet,200.1,72.79,5.293,loamy,none,0.6749,High
Ogun,Yewa North,7.132188,3.029017,wet,196.4,75.22,6.486,loamy,none,0.6565,High
Ogun,Yewa North,7.135099,2.979182,dry,62.7,74.63,3.904,loamy,none,0.6226,High
Ogun,Yewa North,7.146385,3.010646,dry,54.4,74.77,6.167,loamy,none,0.5913,High
Ogun,Yewa North,7.155838,3.019642,dry,63.7,76.13,7.595,loamy,none,0.5774,Medium
Ogun,Yewa North,7.151208,2.981996,wet,203.0,74.06,5.698,loamy,moderate,0.5727,High
Ogun,Yewa North,7.178225,2.989915,dry,55.4,75.04,8.767,loamy,none,0.5603,High
Ogun,Yewa North,7.140226,3.023507,dry,62.6,77.24,6.561,loamy,good,0.4533,Medium
Ogun,Yewa North,7.110897,2.998662,wet,203.4,74.45,2.389,loamy,none,0.7098,High
Ogun,Yewa North,7.144243,2.989124,wet,221.5,76.22,5.022,loamy,none,0.6854,High
Ogun,Yewa South,6.789897,3.001324,wet,206.6,54.93,5.777,clay,basic,0.7079,Critical
Ogun,Yewa South,6.809552,2.971344,wet,206.2,56.62,2.585,clay,basic,0.7444,Critical
Ogun,Yewa South,6.794439,2.99626,dry,55.2,55.39,5.145,clay,basic,0.641,High
Ogun,Yewa South,6.780263,2.995468,wet,199.9,54.7,5.479,clay,basic,0.7084,Critical
Ogun,Yewa South,6.795865,3.002939,dry,62.0,55.57,5.863,clay,basic,0.6356,High
Ogun,Yewa South,6.8197,2.987498,wet,214.7,54.71,4.684,clay,basic,0.7252,High
Ogun,Yewa South,6.800685,2.994822,dry,60.0,57.35,4.95,clay,basic,0.6439,High
Ogun,Yewa South,6.835784,2.997193,wet,207.6,56.78,6.556,clay,basic,0.6973,Critical
Ogun,Yewa South,6.779375,2.989764,dry,54.4,58.28,4.953,sandy,basic,0.5413,Medium
Ogun,Yewa South,6.817112,2.989798,dry,62.9,55.52,4.788,clay,basic,0.649,High
Ogun,Yewa South,6.803301,2.966263,dry,56.3,54.99,1.833,clay,basic,0.6817,High
Ogun,Yewa South,6.812426,2.987864,dry,58.7,55.14,4.403,clay,basic,0.6519,High
Ogun,Yewa South,6.821986,2.980401,dry,57.6,58.17,4.153,clay,basic,0.6515,High
Ogun,Yewa South,6.826011,2.982374,dry,54.6,60.81,4.598,clay,basic,0.6423,High
Ogun,Yewa South,6.799826,2.979592,dry,55.2,58.82,3.267,clay,basic,0.6604,High
Ogun,Yewa South,6.801058,3.012306,wet,207.4,55.57,6.88,clay,basic,0.6945,High
Ogun,Yewa South,6.818955,2.990617,wet,221.4,52.1,4.955,clay,moderate,0.6827,Critical
Ogun,Yewa South,6.790654,3.009489,wet,217.2,55.16,6.65,clay,basic,0.7024,High
Ogun,Yewa South,6.775123,3.00411,wet,209.9,58.01,6.584,clay,basic,0.697,High
Ogun,Yewa South,6.827438,2.976245,wet,222.9,55.19,4.208,clay,basic,0.7345,Critical
Ogun,Yewa South,6.788461,2.975815,wet,200.8,57.33,3.126,sandy,basic,0.6356,High
Ogun,Yewa South,6.785752,2.970827,wet,212.0,55.7,2.793,clay,good,0.6631,High
Ogun,Yewa South,6.808396,2.974019,wet,224.5,55.27,2.812,clay,basic,0.7519,Critical
Ogun,Yewa South,6.814742,2.990633,dry,56.8,56.12,4.776,clay,moderate,0.6006,Medium
Ogun,Yewa South,6.798109,2.984971,wet,215.6,54.85,3.867,clay,basic,0.7353,Critical
Ogun,Yewa South,6.802856,2.967212,dry,63.4,55.05,1.927,clay,basic,0.684,High
Ogun,Yewa South,6.814473,2.988983,dry,62.1,56.17,4.595,clay,basic,0.6503,High
Ogun,Yewa South,6.778245,2.975052,dry,63.0,54.13,3.675,sandy,basic,0.5647,High
Ogun,Yewa South,6.807873,3.000815,dry,59.6,57.01,5.678,silty,basic,0.5968,High
Ogun,Yewa South,6.782765,2.995192,dry,60.5,53.65,5.345,clay,moderate,0.5979,High
Ogun,Yewa South,6.810067,2.967307,wet,196.9,57.76,2.215,clay,basic,0.7433,Critical
Ogun,Yewa South,6.831716,3.004687,wet,199.1,55.71,6.992,clay,basic,0.6889,High
Ogun,Yewa South,6.814155,2.986722,dry,57.6,51.77,4.349,sandy,basic,0.5562,High
Ogun,Yewa South,6.794579,2.997686,dry,56.0,52.83,5.3,clay,basic,0.642,High
Ogun,Yewa South,6.776739,2.995507,dry,56.3,52.35,5.651,clay,basic,0.6383,High
Ogun,Yewa South,6.822264,2.980763,wet,213.4,58.88,4.203,clay,basic,0.7264,Critical
Ogun,Yewa South,6.800328,2.995589,wet,221.2,53.18,5.034,clay,good,0.6431,High
Ogun,Yewa South,6.801031,3.000448,wet,202.0,60.04,5.571,clay,basic,0.7034,Critical
Ogun,Yewa South,6.777185,2.977925,dry,63.7,56.34,3.993,clay,basic,0.6581,Critical
Ogun,Yewa South,6.796989,3.008895,wet,209.9,54.52,6.511,clay,basic,0.7011,High
Ogun,Ipokia,6.517509,2.826819,dry,56.8,19.32,19.232,silty,none,0.5205,High
Ogun,Ipokia,6.530608,2.860702,wet,211.9,21.52,15.761,silty,none,0.6359,High
Ogun,Ipokia,6.537447,2.858351,wet,208.5,19.61,16.193,silty,none,0.6308,Critical
Ogun,Ipokia,6.532335,2.845715,dry,62.5,18.75,17.42,silty,none,0.5455,High
Ogun,Ipokia,6.526915,2.831059,dry,56.8,21.11,18.903,silty,none,0.5227,High
Ogun,Ipokia,6.539079,2.872941,dry,60.8,22.65,14.694,silty,none,0.5738,High
Ogun,Ipokia,6.524678,2.861019,dry,56.4,18.15,15.598,silty,none,0.565,High
Ogun,Ipokia,6.564455,2.874576,dry,55.8,20.13,15.6,silty,basic,0.5103,High
Ogun,Ipokia,6.529851,2.847291,dry,56.1,19.63,17.194,silty,none,0.5443,High
Ogun,Ipokia,6.495849,2.838751,dry,69.1,19.83,17.821,silty,none,0.5429,High
Ogun,Ipokia,6.543123,2.873256,wet,200.5,21.6,14.8,silty,none,0.6418,Critical
Ogun,Ipokia,6.54762,2.845148,wet,217.9,22.8,17.908,silty,none,0.6119,High
Ogun,Ipokia,6.532736,2.873349,wet,196.8,20.43,14.458,silty,none,0.6452,Critical
Ogun,Ipokia,6.548786,2.838529,wet,195.4,22.53,18.645,silty,none,0.5923,High
Ogun,Ipokia,6.532762,2.849607,dry,54.9,21.52,17.01,sandy,none,0.4836,Medium
Ogun,Ipokia,6.521649,2.842179,dry,57.5,19.78,17.601,silty,none,0.5399,High
Ogun,Ipokia,6.540713,2.849342,wet,217.8,17.75,17.249,silty,none,0.6244,High
Ogun,Ipokia,6.508895,2.853206,wet,214.3,23.35,16.248,silty,none,0.6295,Critical
Ogun,Ipokia,6.561404,2.844791,wet,215.8,20.55,18.456,silty,none,0.6064,Critical
Ogun,Ipokia,6.550244,2.83955,dry,54.1,22.08,18.585,silty,none,0.5243,High
Ogun,Ipokia,6.549368,2.845217,dry,59.4,21.52,17.959,silty,none,0.5349,High
Ogun,Ipokia,6.521721,2.833224,dry,63.7,20.04,18.583,silty,none,0.5309,High
Ogun,Ipokia,6.534919,2.849199,dry,59.9,20.09,17.106,silty,none,0.5468,High
Ogun,Ipokia,6.54308,2.847413,dry,56.1,20.46,17.525,silty,none,0.5395,High
Ogun,Ipokia,6.537825,2.868316,dry,61.8,22.38,15.144,silty,basic,0.5166,High
Ogun,Ipokia,6.51086,2.867974,wet,198.2,19.89,14.636,loamy,none,0.6112,High
Ogun,Ipokia,6.530496,2.843051,wet,211.6,20.84,17.668,silty,moderate,0.516,High
Ogun,Ipokia,6.510941,2.843244,dry,57.9,20.21,17.361,silty,none,0.5426,High
Ogun,Ipokia,6.486183,2.832799,wet,226.4,18.9,18.536,loamy,none,0.5791,High
Ogun,Ipokia,6.535519,2.857202,dry,54.6,17.98,16.263,silty,none,0.5563,High
Ogun,Ipokia,6.515765,2.835759,wet,195.2,18.96,18.23,silty,none,0.6005,High
Ogun,Ipokia,6.508244,2.870459,dry,62.4,18.13,14.341,silty,moderate,0.4855,High
